uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesOrg,periods,listTypesOrg
http://www.wikidata.org/entity/Q1001,Mahatma Gandhi,1869,membership,http://www.wikidata.org/entity/Q1233784,Inner Temple,3,educational institution | inns of court | university building,1860-1889,"['educational institution', 'inns of court', 'university building']"
http://www.wikidata.org/entity/Q1001,Mahatma Gandhi,1869,membership,http://www.wikidata.org/entity/Q2154954,Vegetarian Society,2,charitable organization | club,1860-1889,"['charitable organization', 'club']"
http://www.wikidata.org/entity/Q102037550,Marge Frantz,1922,employment,http://www.wikidata.org/entity/Q1047293,"University of California, Santa Cruz",2,public educational institution of the united states | university campus,1920-1949,"['public educational institution of the united states', 'university campus']"
http://www.wikidata.org/entity/Q104183,Lillian Gish,1893,membership,http://www.wikidata.org/entity/Q1541947,Daughters of the American Revolution,2,nonprofit organization | women's club,1890-1919,"['nonprofit organization', ""women's club""]"
http://www.wikidata.org/entity/Q104622,Tawakkol Karman,1979,membership,http://www.wikidata.org/entity/Q7045639,Nobel Women's Initiative,2,advocacy group | international organization,1950-1979,"['advocacy group', 'international organization']"
http://www.wikidata.org/entity/Q105301557,Sofia Spångberg,1898,membership,http://www.wikidata.org/entity/Q105317493,Q105317493,1,voluntary association,1890-1919,['voluntary association']
http://www.wikidata.org/entity/Q105530804,Pierre Sellincourt,1937,membership,http://www.wikidata.org/entity/Q3326586,Mouvement de la Paix,1,organization,1920-1949,['organization']
http://www.wikidata.org/entity/Q105583600,Ken Weller,1936,membership,http://www.wikidata.org/entity/Q7577135,Spies for Peace,1,group of humans,1920-1949,['group of humans']
http://www.wikidata.org/entity/Q105593,Friedrich Siegmund-Schultze,1885,employment,http://www.wikidata.org/entity/Q152087,Humboldt-Universität zu Berlin,4,comprehensive university | open-access publisher | public research university | university of excellence,1860-1889,"['comprehensive university', 'open-access publisher', 'public research university', 'university of excellence']"
http://www.wikidata.org/entity/Q105593,Friedrich Siegmund-Schultze,1885,employment,http://www.wikidata.org/entity/Q168426,University of Münster,3,comprehensive university | local internet registry | public university,1860-1889,"['comprehensive university', 'local internet registry', 'public university']"
http://www.wikidata.org/entity/Q105593,Friedrich Siegmund-Schultze,1885,employment,http://www.wikidata.org/entity/Q20266330,Frederick William University Berlin,1,university,1860-1889,['university']
http://www.wikidata.org/entity/Q105840219,Gwyn Kirk,1945,membership,http://www.wikidata.org/entity/Q5604092,Greenham Common Women's Peace Camp,1,peace camp,1920-1949,['peace camp']
